days,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Caribbean Netherlands,Bosnia,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cabo Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,DRC,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Swaziland,Ethiopia,Faroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Channel Islands,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libyan Arab Jamahiriya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,S. Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,UAE,UK,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
1/1/22,4755850,2340579,12772367,120174,11727352,20882,121338,78301788,1675434,163885,42735504,16712074,11346243,309792,3229937,126557417,299823,8592384,21732565,428249,1880597,113307,1159657,9828521,35845,1842128,1311721,331292259,36150,904342,3701105,1246808,8335,30465321,1026565,68969997,591975,132063,529525,333841,44314282,2841269000,64831117,583856,770345,25537,7878123,7220501,4729813,30888612,218591,1609095,15492132,355131,12021579,133928,58380,14087055,27567784,56470561,9636440,453056,1809092,402499,10916348,97019,4407,1274644,9705865,124259413,333275,464338,301366,2532203,153995046,9438935,109087,17470021,78536,80701,11311681,133140,3251193,414174,718219,199874,9738442,9943843,15264420,717742,1454069802,276102530,118652011,14344261,9863960,178191,16792845,111451586,1208789,201971819,212041,8357935,17511994,10121263,102578,7009850,2256018,7157651,2555631,4380063,867713,1033242,2696939,63092,4144759,1080920,974947,942174,1808866,57895505,791490,1078386,1073046,1965546,2055960,130975650,1776666,65140,5346343,635579,3054,50536699,14936797,36388358,648653,15109,24567218,28747597,357956,8186853,7876714,1554944,14983615,2809,1765778,9789496,6183875,159096276,3417191,6231941,510471,6926682,51125493,109827826,94,46989488,20027765,5209637,15825626,146724190,13078733,7892,55107,105075,61509,263827,56796,160349,51031649,1925244,8290461,184000,931525,11796084,52449,5213057,2761949,245042,1580553,27966664,103999524,284197,83689993,33891135,3562870,490335,17793023,13847751,2525645,34949708,6864834,2564676,105170510,1215606,2418729,2142,136453,1409304,12182712,131930475,5917288,63138,12405,11524316,28527513,22613711,133336724,521918004,6979519,39288142,161522,32187400,152996437,12157,668595,1752212,7276239
1/2/22,4773119,2346364,12794956,121039,11775242,20903,121396,78405494,1660256,163943,42768270,16748230,11346285,310410,3234433,127387174,299738,8651776,21732706,428587,1899192,113518,1161581,9835426,35845,1846443,1314454,331335826,36161,909877,3704808,1257526,8376,30472330,1027435,68992326,592943,132289,533121,336385,44315163,2847898000,64738522,585881,772241,25551,7897449,7323981,4731823,30891212,218718,1612488,15507400,362167,12079038,134536,58532,14088487,27574142,56895025,9643819,453105,1810347,403245,10936490,97429,4407,1275028,9744647,124337122,333527,467466,303384,2539570,154149145,9498411,109104,17531789,78543,80876,11315836,134887,3264234,414306,719230,200397,9780870,9965749,15274767,718188,1456586234,277547504,119041389,14381145,9878749,178575,16823140,111790968,1210496,201972748,211427,8389758,17521399,10134012,103218,7025010,2260694,7192985,2556925,4386756,875968,1035764,2705264,63160,4131993,1076508,975878,949819,1808971,57992543,790942,1087393,1075996,1979751,2061723,131075161,1776831,65140,5348124,636902,3059,50598290,15027751,36595052,643829,15111,24786334,28990562,358139,8189842,7903715,1573701,15120309,2814,1767393,9789574,6195583,160200131,3421149,6245648,510930,6956612,51247161,110407085,94,47005555,20097532,5213945,15830772,147145361,13204208,7892,55178,105192,61589,263884,56799,161624,51262028,1925703,8300895,184251,932724,11844509,52464,5187219,2762076,245722,1585581,27967541,104021841,285007,84250146,33912349,3571785,490605,17797079,13853482,2615802,34890100,6893099,2597846,105185081,1216612,2423774,2144,136889,1411936,12205879,132215015,5936394,63260,12408,11660928,28594979,22640754,133477149,522418645,6979533,39392710,162258,32313661,153596950,12164,670521,1774701,7288786
1/3/22,4790723,2352091,12817545,121904,11817656,20924,121446,78899808,1665059,163998,42812691,16785714,11346365,311028,3242189,128216931,299825,8714903,21858412,428925,1897214,113732,1162048,9980703,35845,1850758,1317187,332076818,36172,915007,3711638,1268244,8417,30533632,1027997,69106851,593911,132515,536717,338929,44497515,2855225000,64986015,587623,773750,25565,7879899,7243628,4745870,30895670,220126,1615881,15579468,369130,12136127,135144,58684,14107896,27660809,57319489,9650870,453154,1814008,404374,10947722,96959,4407,1275412,9706038,124963485,333779,470594,305543,2520230,154631122,9557887,109121,17623828,78550,81051,11350169,136634,3334991,414399,720413,200922,9819615,10004590,15219498,718659,1464526170,279102343,119325720,14417115,9900017,178968,16874181,112418429,1212493,201973926,212020,8422909,17525330,10220981,103858,7039540,2265426,7228319,2565295,4410472,882689,1038286,2713450,63571,4149554,1080957,977270,957464,1809081,58207111,791271,1097498,1086374,1990871,2067836,131268446,1779632,65140,5351491,635683,3064,50660540,15123168,36792757,644218,15113,25005450,29238854,358322,8196047,7928954,1592458,15248281,2819,1769008,9824116,6207291,159058469,3424161,6255373,511389,6985995,51501456,110905316,94,47167673,20171586,5224040,15856687,146733930,13330896,7892,55245,105278,61670,263941,56992,162899,51493736,1926162,8309893,184550,933923,11893241,52479,5193280,2767459,246402,1590609,28022126,104632345,285817,84506436,33918012,3580700,490259,17823837,13926456,2925563,34936462,6937648,2630993,105213013,1217618,2428755,2146,137325,1414607,12253971,132897714,5955500,63382,12411,11797540,28493854,22677013,133667427,523671276,6988419,39486613,162994,32439922,154344391,12171,672447,1793721,7296404
1/4/22,4808327,2356290,12840134,122769,11854593,20945,121488,79451811,1669878,163843,43024593,16824526,11346548,311646,3248421,129046688,299861,8773759,22006229,429263,1914648,113949,1162463,10119450,35845,1855073,1319920,332903332,36183,919731,3736566,1192663,8458,30608949,1028251,69638768,594879,132741,540313,341473,44669346,2863561000,65271100,589082,774872,25548,7897815,7266800,4768007,30925470,221819,1619274,15668700,376021,12192845,135752,58836,14136018,27770818,57488298,9651029,453203,1819519,405528,10954700,97211,4407,1272805,9706280,125760568,332873,473722,307842,2528030,155332942,9617363,109138,17717885,78558,81226,11394232,142792,3373211,414453,721769,201449,9854677,10043692,15232017,718540,1472330269,280621702,119726795,14428341,9933982,178946,16950282,113106998,1215081,201995289,212571,8458400,17532487,10310606,104560,7054505,2272304,7263653,2577286,4435176,887876,1040808,2722361,64105,4169638,1089226,979041,965109,1813469,58454105,791614,1112180,1097030,1998907,2074299,131379625,1784626,65140,5350066,636092,3069,50804376,15223047,36981474,644694,15115,25275254,29492474,358459,8203206,7952431,1611215,15381750,2824,1770623,9892780,6218999,159900613,3427173,6267409,510910,7014832,51780302,110089619,94,47448217,20249926,5235303,15887687,147065983,13458797,7892,55308,105365,61752,263998,57175,164174,51731312,1926621,8317455,184897,935122,11935538,52494,5202444,2774856,246124,1595637,28153104,105081854,286627,84790916,33958305,3589615,490512,17851742,14012774,3003423,34993341,6985620,2664117,105501697,1210070,2433672,2148,136773,1414551,12301642,133408268,5974606,63504,12414,11934152,28596332,22695834,133956004,525094724,6997912,39569851,163730,32566183,155405016,12178,674373,1815669,7307412
1/5/22,4825931,2367574,12862723,123634,11886054,20966,121522,79998751,1674712,163956,43286155,16864666,11373965,308249,3254676,129876445,299968,8828343,22171057,429601,1931855,114241,1162827,10253380,35845,1859388,1322653,333627875,36194,924049,3768966,1202907,8499,30670837,1028505,70031151,595847,132967,543909,344017,44812591,2872017000,65563271,590258,775994,25560,7915997,7290279,4791665,31020410,223448,1622667,15763104,340509,12249193,136360,59170,14159144,27889104,57900264,9658731,453252,1825220,411013,10955586,97142,4407,1273182,9720543,126496639,333192,476850,310141,2536824,156150467,9676839,109155,17812398,78571,81401,11438709,144319,3409297,414506,723297,201978,9886057,10082330,15246709,719113,1482203963,282061660,120139566,14464489,9978059,179817,17034667,113773785,1218281,202041791,213492,8493891,17566051,10356914,105254,7062411,2279184,7298987,2590319,4457470,891530,1043330,2731996,64623,4191634,1097473,980845,971426,1816292,58705041,791929,1196941,1106647,2003858,2080762,131601135,1791089,65140,5353583,637675,3074,50874996,15327389,37161203,645256,15117,25494268,29751422,358634,8251007,7974146,1629972,15520715,2829,1772238,9994156,6230707,160651005,3430185,6281755,511397,7043122,52101912,110875575,94,47740564,20332552,5245738,15920447,147150057,13586698,7892,55279,105409,61834,264055,57347,165449,51965922,1927080,8323316,185244,936321,11973317,52509,5214711,2785451,246816,1600665,28195629,105514132,287437,84985881,33995380,3598530,490973,17880795,14099085,3068986,35055472,7037016,2697241,105935000,1211103,2438524,2150,137175,1419498,12331779,134195065,5993712,63626,12417,12070764,28701176,22725714,134274176,526556546,7007991,39633428,164466,32692444,156902083,12185,676299,1816154,7324034
1/6/22,4843535,2374694,12885312,124499,11797041,20987,121415,80546502,1679561,164103,43558448,16906133,11407447,308872,3261544,130706202,300069,8878656,22333271,429939,1948835,114449,1163139,10400207,35845,1863703,1325386,334055389,36205,927962,3804111,1212677,8540,30730188,1028759,70450195,596815,133193,547505,346561,44953281,2879993000,65895507,591151,777116,25571,7934445,7314146,4793621,31165635,225331,1626060,15864973,342179,12305171,136968,59312,14181824,28008270,58299731,9667413,453301,1831017,412724,10956128,98470,4407,1273553,9872059,127293033,333578,479978,312440,2545490,156834932,9736315,109172,17841184,78591,81576,11517446,145625,3478501,414558,724999,202415,9917437,10123865,15263573,721464,1491991022,283435522,120564034,14500814,10023810,181136,17130504,114114549,1220541,202101232,214009,8529382,17578793,10473483,106002,7076609,2282081,7334321,2603877,4457601,893650,1045852,2752390,64623,4214195,1105646,982600,978797,1831128,58963466,792296,1235948,1114588,2005724,2087225,131791407,1795508,65140,5357450,639038,3079,50947186,15480413,37331943,645904,15119,25713180,30015698,358802,8300795,7995861,1648729,15252779,2834,1773853,10092692,6242415,161409693,3433197,6298412,511911,7071412,52426717,111908830,94,47775010,20419464,5268550,15950969,146761432,13714599,7892,55352,105506,61916,264112,57509,166724,52214828,1923773,8327476,185591,937520,12020596,52524,5230081,2797719,247519,1605693,28241982,106002930,288247,84998186,34047790,3607445,491853,17910996,14185873,3122252,35147108,7091836,2730365,106474266,1212164,2443312,2152,137542,1423722,12356422,134863259,6012818,63748,12420,12085428,28773017,22762474,134563461,528030730,7008041,39355263,165202,32818705,157740557,12192,678225,1842432,7339109
1/7/22,4861139,2382463,12907901,125364,11840946,21008,121460,81118740,1684425,164165,43823668,16976813,11439291,309501,3264743,131535959,301337,8924697,22491774,429697,1965589,114644,1163399,10486385,35845,1868018,1328119,334542745,35970,922950,3838576,1221972,8581,30764313,1029013,70872487,591452,133997,551101,349105,45090431,2887772000,66105636,591760,778238,25581,7953159,7339282,4814929,31344582,227037,1629453,15976814,344531,12353003,137576,59332,14202751,28127567,58686699,9677403,453350,1837163,414631,10956131,98817,4407,1273917,9915083,128181048,334031,483106,314739,2550312,157601984,9795791,108577,17913603,78617,81106,11620036,146711,3419035,414465,726875,202759,9871482,10168995,15282609,722250,1505591911,284749632,121000199,14537316,10060894,181474,17179123,114802209,1230936,202251245,214535,8564873,17588485,10572187,106804,7090039,2284907,7369655,2619330,4501194,894237,1048374,2764653,64661,4237523,1114350,984870,985894,1834597,59185726,792566,1488256,1123023,2007590,2093688,132097392,1795925,65140,5362315,639572,3092,51020947,15629076,37493695,646639,15121,25931990,30397185,358962,8351371,7980576,1667486,15380664,2839,1775468,10139164,6254123,162115885,3436209,6317379,512452,7088227,52751633,112415763,94,48002829,20600670,5278299,15983827,147151775,13842500,7892,55590,105697,61998,264169,57660,167999,52329266,1924806,8329935,185938,938719,12081125,52531,5248553,2808557,248234,1610721,28296823,106736986,289057,85179450,34080856,3616360,492171,17942345,14274935,3163221,35306926,7150080,2763489,107184723,1213253,2446683,2154,137875,1427975,12376388,135618050,6031924,63870,12423,12207334,28820007,22796848,134844030,529692905,7012698,39504910,165938,32944966,158749692,12199,680151,1862342,7355717
1/8/22,4878743,2398207,12930490,126229,12099891,21029,121517,81390500,1689304,164224,43987111,17020388,11471597,310135,3268403,132365716,301503,8966467,22584859,430104,1982116,114827,1163608,10572565,35845,1872333,1330852,335103017,35983,926430,3849848,1230793,8622,30802801,1029267,71173617,592693,134216,554697,351649,45105429,2894178000,66427277,592369,779360,25589,7972139,7359678,4832185,31527306,230092,1595454,16011247,347565,12405989,138184,59448,14211317,28172752,58836189,9688701,453502,1839804,417510,10961918,99192,4407,1274275,9963908,128731389,334552,486234,317038,2551413,158121986,9855267,108604,18010925,78649,81283,11682768,147577,3443111,414527,728926,203010,9899422,10205839,15303817,723173,1508007415,286063742,121448060,14577185,10086335,182005,17217459,115443374,1236487,202439469,215070,8600364,17596864,10593638,107660,7102702,2286687,7404989,2627275,4552503,894824,1050896,2778820,64809,4242179,1118493,986618,992717,1838226,59314139,792581,1546687,1128125,2009456,2100151,132308788,1797147,65140,5367157,639741,3103,51096278,15817597,37646459,647460,15123,26150698,30651433,359115,8376483,8003628,1686243,15567338,2844,1777083,10156109,6265831,162781361,3439221,6338657,513020,7116416,53090893,112947554,94,48179792,20690959,5279265,16024810,147189126,13970401,7892,55675,105801,62080,264226,57800,169274,52468417,1926412,8330693,186285,939918,12141544,52671,5270128,2809975,248960,1615749,28345493,107172073,289867,85357935,34136251,3625275,492421,17974842,14325347,3191893,35374386,7211748,2796613,107345848,1214370,2451425,2156,138174,1432316,12393429,135997933,6051030,63992,12426,12314534,28799967,22832903,135162439,530748218,7012723,39658934,166674,33071227,160033187,12206,682077,1896642,7364450
1/9/22,4903368,2406709,12974545,127094,12167909,21050,121585,81554818,1694518,164287,44086608,17064743,11498372,310775,3274860,133195473,301644,8914267,22614588,430581,1998416,114997,1163765,10589886,35845,1876648,1333585,335742922,35998,929883,3856671,1239140,8663,30826697,1029521,71394370,594207,134428,558293,354193,45107797,2899557000,66546267,592978,780482,25596,7991384,7380082,4838012,31689588,230114,1598937,16031239,351280,12456353,138792,59549,14214590,28210822,59198768,9701307,453575,1841295,419551,10964932,99594,4407,1274626,10009823,128902481,335140,489362,319337,2557144,158307123,9914743,108640,18050360,78687,81462,11754011,148222,3465422,414603,730977,203261,9923921,10233927,15327197,724233,1517705282,287377852,122153249,14618535,10104379,182162,17313135,115864681,1240298,202480542,215231,8635855,17604119,10609955,108570,7100784,2292871,7440323,2629046,4570269,895411,1053418,2794890,65042,4244581,1118531,989499,999266,1840646,59427188,792981,1604583,1133334,2011322,2106614,132422896,1799243,65140,5369265,640239,3121,51173180,16045976,37610466,648368,15125,26369304,30890326,359260,8389148,8028016,1705000,16694633,2849,1778698,10160104,6277539,163414599,3442233,6410766,513615,7144504,53296621,113364030,94,48215692,20780340,5291314,16039660,147390352,14098302,7892,55759,105945,62162,264283,57708,170549,52689404,1928591,8296523,186632,941117,12192458,52937,5359965,2810324,249697,1620777,28317883,107194291,288900,85480089,34186959,3634190,492790,18032591,14348721,3208269,35447193,7276840,2829737,107455519,1215515,2456186,2158,138439,1435282,12410869,136281040,6070136,64114,12429,12407028,28820343,22862200,135357499,531249385,7012732,39742139,167410,33197488,161277807,12213,684003,1915843,7373616
1/10/22,4920010,2410728,12996224,127959,12242119,21071,121665,82071899,1699910,164295,44374463,17109877,11498430,311420,3280276,133127379,301866,8954864,22740224,431127,2014490,115154,1163922,10694224,35845,1880963,1336318,336825920,36015,933309,3879558,1247013,8704,30949555,1029775,71796155,595994,134633,561889,356737,45257322,2905638000,66646518,593587,781604,25601,8016478,7401008,4852642,31803702,231743,1603495,16110724,355677,12504095,139400,59634,14221130,28348820,59549458,9715221,453672,1845481,418229,10958315,99831,4407,1274971,10090806,129502370,335795,492490,321636,2565599,158867218,9974219,108686,18122797,78732,81643,11854725,144021,3421103,414693,733028,203512,9944980,10278874,15398364,725431,1524222751,288691962,122657805,14714511,10126384,182703,17405845,116532950,1238642,202489684,215735,8671346,17611031,10696021,109534,7119791,2303820,7475657,2638410,4610275,895998,1055940,2847131,65323,4261155,1123515,992120,1005541,1845675,59655711,793469,1657578,1139366,2013188,2113077,132636811,1803710,65140,5370194,640996,3145,51203047,17031660,37768129,649276,15127,26585667,31113863,359398,8443210,8053741,1778173,16941667,2854,1780313,10205917,6289247,164015598,3425379,6434008,514238,7172491,53579913,114249221,94,48394222,20868812,5317308,16065053,147564815,14226203,7892,55842,106059,62244,264340,57853,171824,52900314,1931343,8297960,186979,942316,12239847,53328,5383775,2816601,250446,1625805,28514757,107773460,289790,85731280,34203880,3643105,493187,18071083,14420426,3212348,35520008,7341932,2862861,107978454,1216687,2460966,2160,138670,1438843,12427128,136898878,6089242,64236,12432,12220106,28916728,22877196,135551676,532518009,7039879,39832671,168146,33323749,162375421,12220,685929,1917245,7384665
